run,algorithm,threshold,time,max_memory
3,apriori_pruning,0.82,nan,nan
4,apriori_pruning,0.82,nan,nan
5,apriori_pruning,0.82,nan,nan
1,apriori_no_pruning,0.82,nan,nan
2,apriori_no_pruning,0.82,nan,nan
3,apriori_no_pruning,0.82,nan,nan
4,apriori_no_pruning,0.82,nan,nan
5,apriori_no_pruning,0.82,nan,nan
1,eclat,0.8,508.171706,146.97
2,eclat,0.8,509.444417,146.98
3,eclat,0.8,509.42471,147.06
4,eclat,0.8,509.435579,146.85
5,eclat,0.8,511.279951,147.08
1,apriori_pruning,0.8,nan,nan
2,apriori_pruning,0.8,nan,nan
3,apriori_pruning,0.8,nan,nan
4,apriori_pruning,0.8,nan,nan
5,apriori_pruning,0.8,nan,nan
1,apriori_no_pruning,0.8,nan,nan
2,apriori_no_pruning,0.8,nan,nan
3,apriori_no_pruning,0.8,nan,nan
4,apriori_no_pruning,0.8,nan,nan
5,apriori_no_pruning,0.8,nan,nan
1,eclat,0.78,974.205465,231.78
2,eclat,0.78,973.266801,231.83
3,eclat,0.78,974.183255,231.79
4,eclat,0.78,971.115719,231.79
5,eclat,0.78,970.1447,231.91
1,apriori_pruning,0.78,nan,nan
2,apriori_pruning,0.78,nan,nan
3,apriori_pruning,0.78,nan,nan
4,apriori_pruning,0.78,nan,nan
5,apriori_pruning,0.78,nan,nan
1,apriori_no_pruning,0.78,nan,nan
2,apriori_no_pruning,0.78,nan,nan
3,apriori_no_pruning,0.78,nan,nan
4,apriori_no_pruning,0.78,nan,nan
5,apriori_no_pruning,0.78,nan,nan
1,eclat,0.76,nan,nan
2,eclat,0.76,nan,nan
3,eclat,0.76,nan,nan
4,eclat,0.76,nan,nan
5,eclat,0.76,nan,nan
1,apriori_pruning,0.76,nan,nan
2,apriori_pruning,0.76,nan,nan
3,apriori_pruning,0.76,nan,nan
4,apriori_pruning,0.76,nan,nan
5,apriori_pruning,0.76,nan,nan
1,apriori_no_pruning,0.76,nan,nan
2,apriori_no_pruning,0.76,nan,nan
3,apriori_no_pruning,0.76,nan,nan
4,apriori_no_pruning,0.76,nan,nan
5,apriori_no_pruning,0.76,nan,nan
1,eclat,0.74,nan,nan
2,eclat,0.74,nan,nan
3,eclat,0.74,nan,nan
4,eclat,0.74,nan,nan
5,eclat,0.74,nan,nan
1,apriori_pruning,0.74,nan,nan
2,apriori_pruning,0.74,nan,nan
3,apriori_pruning,0.74,nan,nan
4,apriori_pruning,0.74,nan,nan
5,apriori_pruning,0.74,nan,nan
1,apriori_no_pruning,0.74,nan,nan
2,apriori_no_pruning,0.74,nan,nan
3,apriori_no_pruning,0.74,nan,nan
4,apriori_no_pruning,0.74,nan,nan
5,apriori_no_pruning,0.74,nan,nan
1,eclat,0.72,nan,nan
2,eclat,0.72,nan,nan
3,eclat,0.72,nan,nan
4,eclat,0.72,nan,nan
5,eclat,0.72,nan,nan
1,apriori_pruning,0.72,nan,nan
2,apriori_pruning,0.72,nan,nan
3,apriori_pruning,0.72,nan,nan
4,apriori_pruning,0.72,nan,nan
5,apriori_pruning,0.72,nan,nan
1,apriori_no_pruning,0.72,nan,nan
2,apriori_no_pruning,0.72,nan,nan
3,apriori_no_pruning,0.72,nan,nan
4,apriori_no_pruning,0.72,nan,nan
5,apriori_no_pruning,0.72,nan,nan
1,eclat,0.7,nan,nan
2,eclat,0.7,nan,nan
3,eclat,0.7,nan,nan
4,eclat,0.7,nan,nan
5,eclat,0.7,nan,nan
1,apriori_pruning,0.7,nan,nan
2,apriori_pruning,0.7,nan,nan
3,apriori_pruning,0.7,nan,nan
4,apriori_pruning,0.7,nan,nan
5,apriori_pruning,0.7,nan,nan
1,apriori_no_pruning,0.7,nan,nan
2,apriori_no_pruning,0.7,nan,nan
3,apriori_no_pruning,0.7,nan,nan
4,apriori_no_pruning,0.7,nan,nan
5,apriori_no_pruning,0.7,nan,nan
