run,algorithm,threshold,time,max_memory
1,apriori_pruning,0.15,0.493505,44.98
2,apriori_pruning,0.15,0.472429,44.98
3,apriori_pruning,0.15,0.462211,44.98
4,apriori_pruning,0.15,0.447532,44.98
5,apriori_pruning,0.15,0.468711,44.98
1,apriori_no_pruning,0.15,0.499945,44.98
2,apriori_no_pruning,0.15,0.500149,44.98
3,apriori_no_pruning,0.15,0.491873,44.98
4,apriori_no_pruning,0.15,0.463575,44.98
5,apriori_no_pruning,0.15,0.446595,44.98
1,eclat,0.1,0.699845,45.61
2,eclat,0.1,0.728585,45.61
3,eclat,0.1,0.732174,45.61
4,eclat,0.1,0.717176,45.61
5,eclat,0.1,0.727131,45.61
1,apriori_pruning,0.1,0.534845,44.98
2,apriori_pruning,0.1,0.499783,44.98
3,apriori_pruning,0.1,0.5014,44.98
4,apriori_pruning,0.1,0.531804,44.98
5,apriori_pruning,0.1,0.495374,44.98
1,apriori_no_pruning,0.1,0.486348,44.98
2,apriori_no_pruning,0.1,0.506322,44.98
3,apriori_no_pruning,0.1,0.535748,44.98
4,apriori_no_pruning,0.1,0.537519,44.98
5,apriori_no_pruning,0.1,0.537639,44.98
1,eclat,0.05,0.764469,45.61
2,eclat,0.05,0.753195,45.61
3,eclat,0.05,0.749743,45.61
4,eclat,0.05,0.766887,45.61
5,eclat,0.05,0.737361,45.61
1,apriori_pruning,0.05,0.602933,44.98
2,apriori_pruning,0.05,0.608397,44.98
3,apriori_pruning,0.05,0.617044,44.98
4,apriori_pruning,0.05,0.610213,44.98
5,apriori_pruning,0.05,0.601662,44.98
1,apriori_no_pruning,0.05,0.657554,44.98
2,apriori_no_pruning,0.05,0.65937,44.98
3,apriori_no_pruning,0.05,0.63603,44.98
4,apriori_no_pruning,0.05,0.653714,44.98
5,apriori_no_pruning,0.05,0.60471,44.98
1,eclat,0.01,1.91263,53.08
2,eclat,0.01,1.854099,53.08
3,eclat,0.01,1.915733,53.08
4,eclat,0.01,1.872463,53.08
5,eclat,0.01,1.919202,53.08
1,apriori_pruning,0.01,12.931122,45.43
2,apriori_pruning,0.01,13.130795,45.53
3,apriori_pruning,0.01,13.104375,45.53
4,apriori_pruning,0.01,12.612597,45.53
5,apriori_pruning,0.01,12.653176,45.53
1,apriori_no_pruning,0.01,15.726558,45.57
2,apriori_no_pruning,0.01,15.402908,45.65
3,apriori_no_pruning,0.01,15.412742,45.65
4,apriori_no_pruning,0.01,15.775754,45.65
5,apriori_no_pruning,0.01,15.647471,45.55
1,eclat,0.005,4.043919,63.62
2,eclat,0.005,4.048248,63.62
3,eclat,0.005,4.121931,63.62
4,eclat,0.005,4.096558,63.62
5,eclat,0.005,4.086519,63.62
1,apriori_pruning,0.005,119.29558,45.49
2,apriori_pruning,0.005,120.886902,45.48
3,apriori_pruning,0.005,122.796823,45.48
4,apriori_pruning,0.005,123.049087,45.51
5,apriori_pruning,0.005,122.72371,45.51
1,apriori_no_pruning,0.005,170.23222,46.39
2,apriori_no_pruning,0.005,172.528552,46.37
3,apriori_no_pruning,0.005,171.056877,46.36
4,apriori_no_pruning,0.005,171.700359,46.36
5,apriori_no_pruning,0.005,172.011888,46.37
1,eclat,0.001,26.677991,118.87
2,eclat,0.001,26.541588,118.87
3,eclat,0.001,26.144232,118.87
4,eclat,0.001,26.635163,118.87
5,eclat,0.001,26.594303,118.87
1,apriori_pruning,0.001,nan,nan
2,apriori_pruning,0.001,nan,nan
3,apriori_pruning,0.001,nan,nan
4,apriori_pruning,0.001,nan,nan
5,apriori_pruning,0.001,nan,nan
1,apriori_no_pruning,0.001,nan,nan
2,apriori_no_pruning,0.001,nan,nan
3,apriori_no_pruning,0.001,nan,nan
4,apriori_no_pruning,0.001,nan,nan
5,apriori_no_pruning,0.001,nan,nan
